         5404811 function calls (5345084 primitive calls) in 5.299 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    12209    0.002    0.000    0.002    0.000 {method 'group' of '_sre.SRE_Match' objects}
     1275    0.002    0.000    0.067    0.000 re.py:286(_compile)
     4981    0.002    0.000    0.003    0.000 sre_parse.py:163(__getitem__)
     2425    0.002    0.000    0.003    0.000 __init__.py:177(iteritems)
     1109    0.002    0.000    0.005    0.000 linalg.py:180(_fastCopyAndTranspose)
    24192    0.002    0.000    0.002    0.000 arrayprint.py:239(_boolFormatter)
      789    0.002    0.000    0.006    0.000 relativedelta.py:91(__init__)
     9717    0.002    0.000    0.002    0.000 internals.py:154(internal_values)
     2325    0.002    0.000    0.003    0.000 __init__.py:183(itervalues)
      413    0.002    0.000    0.013    0.000 frame.py:2505(_sanitize_column)
      105    0.002    0.000    0.042    0.000 generic.py:5065(_where)
      770    0.002    0.000    0.019    0.000 __init__.py:1399(safe_version)
      354    0.002    0.000    0.002    0.000 internals.py:335(set)
    756/8    0.002    0.000    0.816    0.102 <frozen importlib._bootstrap_external>:672(exec_module)
     1139    0.002    0.000    0.003    0.000 dtypes.py:183(__new__)
     2565    0.002    0.000    0.002    0.000 dtypes.py:145(construct_from_string)
1792/1444    0.002    0.000    0.011    0.000 base.py:705(view)
  666/342    0.002    0.000    0.011    0.000 inspect.py:2173(_signature_from_callable)
      522    0.002    0.000    0.007    0.000 numeric.py:30(__new__)
      901    0.002    0.000    0.006    0.000 copy.py:66(copy)
     1348    0.002    0.000    0.018    0.000 series.py:257(from_array)
      210    0.002    0.000    0.030    0.000 generic.py:6369(cum_func)
     2218    0.002    0.000    0.003    0.000 linalg.py:106(_makearray)
     2350    0.002    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:85(_path_is_mode_type)
     2943    0.002    0.000    0.002    0.000 common.py:1673(_get_dtype)
      636    0.002    0.000    0.005    0.000 common.py:353(_asarray_tuplesafe)
     1528    0.002    0.000    0.002    0.000 base.py:1638(__contains__)
     8938    0.002    0.000    0.002    0.000 {method 'pop' of 'dict' objects}
     2733    0.002    0.000    0.006    0.000 generic.py:368(_get_axis)
      151    0.002    0.000    0.009    0.000 concat.py:25(get_dtype_kinds)
     1260    0.002    0.000    0.003    0.000 dtypes.py:489(is_dtype)
      743    0.002    0.000    0.011    0.000 base.py:404(_shallow_copy)
    15617    0.002    0.000    0.002    0.000 {method 'lstrip' of 'str' objects}
      349    0.002    0.000    0.197    0.001 indexing.py:173(__setitem__)
     2691    0.002    0.000    0.005    0.000 common.py:371(is_timedelta64_dtype)
      893    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:318(__exit__)
      756    0.002    0.000    0.078    0.000 <frozen importlib._bootstrap_external>:485(_compile_bytecode)
       77    0.002    0.000    0.052    0.001 concat.py:215(__init__)
     1064    0.002    0.000    0.002    0.000 {method 'replace' of 'str' objects}
     3035    0.002    0.000    0.008    0.000 common.py:222(is_datetimetz)
      880    0.002    0.000    0.004    0.000 internals.py:2820(shape)
     1375    0.002    0.000    0.033    0.000 generic.py:3122(_protect_consolidate)
      349    0.002    0.000    0.061    0.000 indexing.py:210(_convert_tuple)
     1348    0.002    0.000    0.020    0.000 frame.py:2312(_box_col_values)
       11    0.002    0.000    0.735    0.067 format.py:1695(_save_chunk)
     1109    0.002    0.000    0.002    0.000 linalg.py:168(_to_native_byte_order)
     1486    0.002    0.000    0.006    0.000 __init__.py:2340(yield_lines)
       10    0.001    0.000    0.001    0.000 {built-in method pandas._libs.tslib.array_to_datetime}
     1135    0.001    0.000    0.002    0.000 getlimits.py:376(__new__)
      402    0.001    0.000    0.003    0.000 __init__.py:767(add)
      770    0.001    0.000    0.003    0.000 version.py:236(__str__)
     1197    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:58(__init__)
  893/756    0.001    0.000    0.135    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
        2    0.001    0.001    0.007    0.003 {pandas._libs.lib.map_infer}
     4584    0.001    0.000    0.001    0.000 version.py:207(<genexpr>)
      934    0.001    0.000    0.001    0.000 {method 'clear' of 'dict' objects}
      331    0.001    0.000    0.014    0.000 _util.py:269(getargspec_no_self)
     1149    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1228(_get_spec)
       96    0.001    0.000    0.029    0.000 __init__.py:357(namedtuple)
      651    0.001    0.000    0.002    0.000 posixpath.py:152(dirname)
      237    0.001    0.000    0.001    0.000 {built-in method pandas._libs.lib.list_to_object_array}
  493/159    0.001    0.000    0.026    0.000 sre_parse.py:407(_parse_sub)
     1225    0.001    0.000    0.001    0.000 {method 'split' of '_sre.SRE_Pattern' objects}
      924    0.001    0.000    0.041    0.000 frame.py:1800(get_value)
     1857    0.001    0.000    0.006    0.000 numeric.py:129(asi8)
        6    0.001    0.000    0.001    0.000 {pandas._libs.tslib.build_field_sarray}
      108    0.001    0.000    0.019    0.000 _distn_infrastructure.py:626(_construct_argparser)
